Profit;popularity;Day_of_week;runtime;vote_average;vote_count
55399548;116.700319;4;120;6,6;3062
86603229;55.109138;6;123;7,7;3067
409160692;59.547928;5;100;7,5;3070
76126687;88.496873;4;153;7,9;3085
236958228;50.7453;3;116;7,8;3086
291551094;83.893257;6;109;7;3088
305000141;49.975409;5;112;7,4;3092
881405097;116.840296;4;165;5,8;3095
274988211;73.313918;4;129;6,4;3096
464123048;100.21391;5;102;7,6;3106
301818803;91.332849;4;88;6;3114
226600000;77.178973;4;127;5,8;3118
21836394;63.654244;4;145;8,2;3128
686297228;21.939663;6;150;6;3138
98133322;43.348022;4;114;7;3144
501744560;84.689648;4;90;6,9;3145
632806292;73.085576;6;107;7,7;3147
426171806;80.972475;4;127;7,6;3152
339632142;57.739713;6;143;7,5;3218
164816455;67.66094;6;137;7,7;3220
532330139;114.522237;5;131;7,1;3224
244901337;51.535701;5;129;6,7;3235
457680671;48.110909;4;86;6,6;3237
174803475;53.02787;5;88;5,7;3239
531006128;98.755657;4;125;5,2;3254
17341568;64.025031;4;106;5,9;3254
741969268;60.442593;3;145;6,7;3260
782410554;56.105798;7;115;7,3;3269
183932083;60.269279;2;166;7,3;3292
928746996;28.529607;3;154;6,1;3299
163921954;73.720244;4;122;7,8;3310
108726688;61.182331;4;123;7,8;3311
341296601;80.878605;4;122;7,9;3313
138441614;52.380982;5;112;7;3319
331794936;48.681969;4;100;7,4;3330
138000000;60.722162;4;177;7,7;3336
34542841;105.792936;6;200;8,3;3338
180819611;63.13678;4;112;7,3;3382
184920315;69.27822;5;120;7,1;3391
30197217;89.095538;5;117;5,1;3395
476050219;92.982009;4;90;7,4;3416
133930596;60.231382;5;109;6,7;3417
187824128;62.01056;5;120;7,1;3423
169283925;6.909942;6;106;6,6;3428
171140700;67.33767;4;109;6,4;3439
588599701;70.78591;5;138;6,7;3443
-4729478;61.210016;5;113;6,6;3452
800958308;31.482872;7;87;5,9;3462
212654182;65.402595;4;98;5,2;3493
297711549;2.871739;5;133;6,8;3506
5139618;94.056131;6;117;7,9;3509
249359555;3.857526;4;104;6,3;3525
543559607;89.186492;5;104;7;3528
291868548;46.985445;5;130;5,7;3530
78791382;57.300674;4;88;7,2;3550
355616625;127.084938;5;122;5,8;3561
632871626;115.699814;3;139;5,9;3576
154034224;86.476817;6;119;7,3;3583
33000000;47.51363;4;105;7,5;3601
324968763;53.905592;4;115;6,7;3624
285603537;202.042635;3;126;5,8;3631
52258126;56.481487;6;108;7,9;3652
167000000;95.9229;6;134;7,9;3674
13461007;66.925866;4;99;7,8;3697
63054825;49.294864;7;100;7,4;3725
174455986;58.040149;4;102;6,2;3739
25017374;78.699993;5;144;8,1;3757
295166834;74.358971;6;125;7,6;3759
246040419;61.196071;6;143;7,3;3769
365717150;60.929352;6;116;7,2;3783
227234916;95.914473;5;115;6,7;3793
300114312;73.944049;4;141;7,7;3795
407366869;73.575118;7;92;7,3;3806
185238201;103.718387;4;119;6,2;3829
292000000;43.345252;2;108;7,4;3829
259925095;118.968562;6;125;8,3;3840
371925971;68.159596;6;115;7,7;3854
449045960;88.935165;3;144;7,3;3855
324257136;99.561972;1;81;7,1;3857
341983149;82.643036;5;117;6,6;3877
173920180;109.528572;4;126;7,3;3885
209615000;81.499621;3;129;7;3886
143817906;139.575085;4;135;7,4;3946
122159461;50.622607;6;136;7,6;3948
112767956;66.169628;6;131;7,5;3948
549713380;77.77477;4;133;6,8;3972
493428261;127.284427;4;137;6,6;3984
529398328;43.987061;4;142;6,4;3992
223062864;5.954334;3;107;6,2;4021
30723096;60.715151;4;113;7,4;4028
559709780;25.468493;4;144;6,6;4040
224600000;103.698022;6;189;8,2;4048
295440673;15.953444;3;126;6,3;4053
