Winner;Film
1;Andre Previn
1;"Music by Frederick Loewe; Lyrics by Alan Jay Lerner"
1;Arthur Freed, Producer
1;John W. Burton, Producer
1;Walt Disney, Producer
1;Todd-AO Sound Department, Fred Hynes, Sound Director
1;Visual Effects by Tom Howard
1;Alan Jay Lerner
1;Nedrick Young, Harold Jacob Smith
1;Ben-Hur
1;Ben-Hur
1;Room at the Top
1;The Diary of Anne Frank
1;"Art Direction: Lyle R. Wheeler, George W. Davis; Set Decoration: Walter M. Scott, Stuart A. Reiss"
1;"Art Direction: William A. Horning, Edward Carfagno; Set Decoration: Hugh Hunt"
1;William C. Mellor
1;Robert L. Surtees
1;Orry-Kelly
1;Elizabeth Haffenden
1;William Wyler
1;Bernhard Grzimek, Producer
1;Bert Haanstra, Producer
1;Ralph E. Winters, John D. Dunning
1;France
1;Miklos Rozsa
1;Andre Previn, Ken Darby
1;"Music by James Van Heusen; Lyrics by Sammy Cahn"
1;Sam Zimbalist, Producer
1;John Hubley, Producer
1;Jacques-Yves Cousteau, Producer
1;Metro-Goldwyn-Mayer Studio Sound Department, Franklin E. Milton, Sound Director
1;"Visual Effects by A. Arnold Gillespie, Robert MacDonald; Audible Effects by Milo Lory"
1;Neil Paterson
1;"Story by Russell Rouse, Clarence Greene; Screenplay by Stanley Shapiro, Maurice Richlin"
1;Elmer Gantry
1;Spartacus
1;Butterfield 8
1;Elmer Gantry
1;"Art Direction: Alexander Trauner; Set Decoration: Edward G. Boyle"
1;"Art Direction: Alexander Golitzen, Eric Orbom; Set Decoration: Russell A. Gausman, Julia Heron"
1;Freddie Francis
1;Russell Metty
1;Edith Head, Edward Stevenson
1;Valles, Bill Thomas
1;Billy Wilder
1;Larry Lansburgh, Producer
1;James Hill, Producer
1;Daniel Mandell
1;Sweden
1;Ernest Gold
1;Morris Stoloff, Harry Sukman
1;Music and Lyrics by Manos Hadjidakis
1;Billy Wilder, Producer
1;William L. Snyder, Producer
1;Ezra R. Baker, Producer
1;"Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director; and Todd-AO Sound Department, Fred Hynes, Sound Director"
1;Visual Effects by Gene Warren, Tim Baar
1;Richard Brooks
1;Billy Wilder, I. A. L. Diamond
1;Pollyanna
1;Judgment at Nuremberg
1;West Side Story
1;Two Women
1;West Side Story
1;"Art Direction: Harry Horner; Set Decoration: Gene Callahan"
1;"Art Direction: Boris Leven; Set Decoration: Victor A. Gangelin"
1;Eugen Shuftan
1;Daniel L. Fapp
1;Piero Gherardi
1;Irene Sharaff
1;Robert Wise, Jerome Robbins
1;Arthur Cohn and Rene Lafuite, Producers
1;Frank P. Bibas, Producer
1;Thomas Stanford
1;Sweden
1;Henry Mancini
1;Saul Chaplin, Johnny Green, Sid Ramin, Irwin Kostal
1;"Music by Henry Mancini; Lyrics by Johnny Mercer"
1;Robert Wise, Producer
1;Zagreb Film
1;Templar Film Studios
1;"Todd-AO Sound Department, Fred Hynes, Sound Director; and Samuel Goldwyn Studio Sound Department, Gordon E. Sawyer, Sound Director"
1;"Visual Effects by Bill Warrington; Audible Effects by Vivian C. Greenham"
1;Abby Mann
1;William Inge
1;A Force in Readiness
1;To Kill a Mockingbird
1;Sweet Bird of Youth
1;The Miracle Worker
1;The Miracle Worker
1;"Art Direction: Alexander Golitzen, Henry Bumstead; Set Decoration: Oliver Emert"
1;"Art Direction: John Box, John Stoll; Set Decoration: Dario Simoni"
1;Jean Bourgoin, Walter Wottitz, (Henri Persin)
1;Fred A. Young
1;Norma Koch
1;Mary Wills
1;David Lean
1;Louis Clyde Stoumen, Producer
1;Jack Howells, Producer
1;Anne Coates
1;France
1;Maurice Jarre
1;Ray Heindorf
1;"Music by Henry Mancini; Lyrics by Johnny Mercer"
1;Sam Spiegel, Producer
1;John Hubley and Faith Hubley, Producers
