budget;popularity;Years_old;revenue;runtime;title;vote_average;vote_count
80000000;8.923215;14;10166502;132;The Great Raid;6.8;91
57000000;9.27875;15;28283637;95;Thunderbirds;4.2;91
35000000;3.746806;16;11560806;102;The Order;4.8;91
28000000;7.039189;22;5684789;134;Kundun;6.8;91
6000000;12.601677;12;18197398;89;Daddy Day Camp;4.4;91
5000000;5.348446;41;7230000;118;Force 10 from Navarone;6.4;91
4000000;4.992475;9;41424067;120;Of Gods and Men;6.5;91
40000000;3.476966;17;22433915;108;City By The Sea;5.7;92
24000000;6.589193;20;16290976;87;Muppets from Space;5.8;92
21000000;7.047975;18;28008462;109;The Tailor of Panama;6.2;92
2000000;6.728882;4;2801508;97;Captive;5.6;92
100000;7.447714;7;95000;86;Stitches;5.5;92
12500000;6.546037;9;1083683;108;Casino Jack;6;94
6000000;7.161051;11;2899975;99;The Wackness;6.2;94
3000000;5.003615;31;7282851;97;Phantasm II;6.3;94
2962051;3.636634;23;3011195;108;Basquiat;6.6;94
3000000;2.504169;14;9879971;94;Tsotsi;6.9;94
55000000;7.768223;13;9450897;125;All the King's Men;5.7;95
17000000;7.864011;13;7314027;107;American Dreamz;4.9;95
16000000;9.717392;12;18928871;100;A Mighty Heart;6.7;95
9000000;2.062087;17;4777465;97;Igby Goes Down;6.5;95
8000000;8.403859;28;2275557;79;Showdown in Little Tokyo;5.7;95
2500000;5.164423;52;3200000;92;Point Blank;7.1;95
36000000;6.967857;5;52424533;107;Dolphin Tale 2;6.7;96
16000000;8.8321;11;50007546;114;The Women;4.6;96
13000000;6.130096;18;16929123;99;Crazy/Beautiful;6.6;96
70000000;8.37378;17;19924033;91;Ballistic: Ecks vs. Sever;4.3;97
35000000;6.889633;43;35323292;102;The Bad News Bears;6.9;97
28000000;8.314624;23;16900000;132;Michael Collins;6.7;97
15000000;8.113634;18;12000000;92;Knockaround Guys;5.9;97
8000000;7.235794;9;18124262;129;Another Year;7;97
2200000;5.206967;13;11502151;157;Rang De Basanti;7.2;97
600000;4.859873;20;4000000;99;Human Traffic;6.8;97
27000000;8.715822;15;13000000;99;Suspect Zero;5.5;98
22000000;9.088209;42;12000000;121;Sorcerer;7.4;98
37000000;6.293217;11;63800345;81;Space Chimps;5.2;99
18000000;6.18869;21;9495408;131;The Red Violin;7.3;99
8000000;13.987772;10;29010817;97;New in Town;5.2;99
8000000;6.39503;14;23563727;116;Hustle & Flow;6.9;99
6500000;5.700333;20;4217115;95;Detroit Rock City;6.7;100
14000000;8.885017;19;38574362;97;Urban Legends: Final Cut;4.4;100
15000000;7.446069;10;6405245;89;Post Grad;5;100
20000000;7.499639;17;33526835;85;Friday After Next;6;100
