Profit;popularity;Day_of_week;runtime;title;vote_average;vote_count
-3400000;5.815881;6;120;Swing Vote;5,8;65
-9539000;5.294319;1;119;Shinjuku Incident;6,7;65
25170057;7.558959;6;91;Raising Cain;5,9;65
6361217;4.495256;4;106;Pat Garrett & Billy the Kid;4,6;65
-797116;4.52363;6;108;Bulworth;6,3;66
-8199698;2.850896;3;104;Mr. 3000;5;66
-4346385;8.976738;6;114;Anywhere But Here;5,9;66
32590886;6.717994;4;118;Set It Off;6,8;66
7702438;5.500324;6;92;Flirting with Disaster;6,6;66
-3469952;5.013575;2;103;Winter in Wartime;7,2;66
9401952;3.771652;2;109;The History Boys;7,1;66
-4300000;5.643023;6;98;Class of 1984;6,8;66
7500000;6.82919;4;112;Hud;7,1;66
-899095;5.974156;7;100;L!fe Happens;6,8;66
33905110;3.409764;5;225;Woodstock;7,4;66
-600000;10.861167;4;83;The Kentucky Fried Movie;6;66
8382659;4.602185;6;195;Reds;7,1;67
19187653;9.548391;6;163;A Passage to India;6,9;67
12609995;5.771479;6;115;Return to Me;6,1;67
-3889987;3.258422;6;108;Dragonslayer;6,5;67
52182787;3.826685;6;125;Coal Miner's Daughter;7,2;67
14500000;4.742537;4;94;Dick;5,7;67
34460850;5.699058;7;83;Recess: School's Out;6,6;67
7232628;8.452666;5;107;Lone Wolf McQuade;6,7;67
-4500000;2.503612;3;86;Hansel and Gretel Get Baked;6,4;67
1919197;4.757625;1;96;Thumbsucker;8;67
-32071279;8.59075;6;127;The Cotton Club;6,6;68
-14631103;4.352422;2;96;Alex & Emma;5;68
-20000000;14.182301;3;83;Zambezia;5,3;68
-8891180;5.833687;6;90;Gossip;5,5;68
-6500000;7.028946;3;130;Flame & Citron;4,5;68
-30000000;2.981047;2;110;Ripley's Game;6,6;69
-19111857;4.436792;6;119;Mystery, Alaska;6;69
6575282;4.961306;6;87;Strange Wilderness;4,7;69
15754284;4.928777;6;108;The Last Dragon;6,4;69
630045;4.59841;6;84;Let's Go to Prison;3,3;69
25911240;4.844451;6;84;Swimfan;5;70
5982579;8.406025;2;96;She's the One;4,8;70
-28576611;2.808428;4;104;The Adventures of Ford Fairlane;6,2;71
-30318235;3.770161;6;192;Nixon;7,1;71
-30206504;3.87823;6;130;The Express;7,1;71
-9000000;4.641006;5;137;Henry V;6,8;71
6911670;4.504377;4;121;Catch-22;6,7;72
31905889;5.164281;6;111;The Object of My Affection;5,6;72
7187375;6.459787;5;90;Khumba;5,8;72
10342161;4.207456;6;84;Reno 911!: Miami;8;72
1000000;4.49029;2;133;The Train;6,8;72
-5500000;mar.87;6;82;Digimon: The Movie;6,6;72
4200000;2.930058;1;124;The Misfits;7,1;72
4750000;7.70019;3;118;How Green Was My Valley;7,2;72
18507567;6.96858;6;121;God's Not Dead 2;6,9;72
3835130;3.091077;2;110;The Spanish Prisoner;7,1;73
-24993601;8.842722;5;99;The Adventurer: The Curse of the Midas Box;5,1;73
-6876149;6.618149;4;141;Vanity Fair;5,5;73
-14518911;4.358255;4;122;Fur: An Imaginary Portrait of Diane Arbus;5,8;73
-3575530;4.66723;6;86;Head Over Heels;5,3;73
-6953512;8.207425;6;108;Ca$h;7,2;73
-6800000;4.665309;1;101;Shade;7,9;73
-6000000;4.957014;7;90;The Hit List;7,1;73
-2533556;7.79068;5;104;Wonderland;4,8;73
623528;5.223096;4;98;Blackthorn;5,3;73
-518580;4.0971;2;96;The Quiet;5,8;73
-34620598;6.067212;6;104;Mary Reilly;5,7;74
47070412;6.501815;3;106;Barbershop 2:  Back in Business;5,6;74
12430766;7.063053;6;95;Tomcats;4,9;74
-10000000;10.073144;6;94;Into the Grizzly Maze;6;74
12750246;4.053017;4;91;A Mighty Wind;6,5;74
-6000000;12.434688;5;110;The First Great Train Robbery;4,6;74
8900031;6.22577;4;95;The Story of Us;5,9;75
-32589251;6.760922;2;93;Virgin Territory;4,3;75
24450736;4.580081;6;97;Baby Geniuses;3,3;75
16017403;4.146752;6;95;O;5,8;75
1303682;4.820166;6;104;Shopgirl;5,8;75
-193175;6.978907;2;99;The Canyons;6,6;75
-43191450;6.397388;6;88;The Big Bounce;5;76
-3237295;4.781538;5;104;The Rage: Carrie 2;5,1;76
-1297136;4.492859;6;92;Catch That Kid;4,9;76
-8444012;4.365196;6;95;The Little Vampire;6,1;77
-16168652;9.244181;5;105;Renaissance;6,7;77
51231524;5.882208;6;110;Madea's Family Reunion;6;77
8269963;5.960149;6;135;Lone Star;6,9;77
-4567658;3.03091;4;99;The Barbarian Invasions;6,4;77
2000000;5.975604;5;143;Topaz;6,7;77
9726954;7.958831;6;106;My Life Without Me;7;77
33522221;5.961119;6;129;Courageous;7,3;77
876302;4.749885;1;104;Meek's Cutoff;5,6;77
-1100000;7.717237;6;110;Beyond the Black Rainbow;4,4;77
-69590483;8.098369;6;93;Monkeybone;4,3;78
-9662523;9.36146;6;84;Code Name: The Cleaner;4,7;78
-13525082;7.05145;2;139;Manderlay;6,9;78
-5245102;4.770195;6;116;Running with Scissors;5,8;78
9663238;9.933926;5;84;Glee: The Concert Movie;5,1;79
38300000;3.353176;6;159;Yeh Jawaani Hai Deewani;7;79
5788365;3.426314;3;126;You Can't Take It With You;6;79
7250000;9.903992;4;92;Niagara;6,7;79
-28149899;6.80692;5;94;My Favorite Martian;5,1;80
-31506110;5.201688;6;85;Big Trouble;6,3;80
-20619874;3.426555;6;118;Extreme Measures;5,7;80
5529194;7.809701;4;117;Country Strong;5,9;80
-1573149;6.091951;6;90;You Kill Me;6,6;80
5761917;6.162872;3;124;Lucky You;5,4;81
-39458477;3.314004;6;114;Mad City;5,9;81
-40392392;5.361699;5;139;Love in the Time of Cholera;6,4;81
-15667676;4.516953;6;128;Renaissance Man;5,9;81
-2325876;5.133744;6;101;The Quiet American;6,4;81
10948425;4.932893;6;112;Akeelah and the Bee;6,4;81
-7000000;11.400229;6;90;Factory Girl;5,8;81
-3548372;5.588652;4;105;Gods and Monsters;7,6;81
-13792870;4.002579;6;113;Stop-Loss;6,1;82
-15565274;12.869436;6;98;Harley Davidson and the Marlboro Man;6,1;82
9507551;7.821438;5;134;In Cold Blood;7,1;82
6012000;5.344815;5;133;Red River;3,8;82
45800064;9.175762;6;138;Son of God;5,9;83
-2567837;5.596835;6;101;A Guy Thing;5,3;83
-10027033;7.871686;4;93;Metallica: Through the Never;6,7;83
-9982528;5.145655;4;111;Strangerland;7;83
-5449980;4.475007;6;95;Flipper;5,3;84
-9975218;7.497306;2;90;Solitary Man;5,8;84
-10355245;5.841285;2;111;Ondine;6,5;84
27663038;5.690619;1;94;High Anxiety;6,2;84
37823676;5.159407;5;123;All That Jazz;7,3;85
-12069815;8.93941;3;100;Serving Sara;5;85
-5762530;6.373316;7;118;Dark Blue;6,5;85
